match_id,season,date,venue_id,team1_id,team2_id,toss_winner_id,toss_decision,first_innings_score,first_innings_wickets,match_stage
IPL2024_MAT_33,2024,18-04-2024,IPL_VEN_15,IPL_T20_MI,IPL_T20_PBKS,IPL_T20_PBKS,Field,192,7,League
IPL2024_MAT_34,2024,19-04-2024,IPL_VEN_08,IPL_T20_CSK,IPL_T20_LSG,IPL_T20_LSG,Field,176,6,League
IPL2024_MAT_35,2024,20-04-2024,IPL_VEN_02,IPL_T20_SRH,IPL_T20_DC,IPL_T20_DC,Field,266,7,League
IPL2024_MAT_36,2024,21-04-2024,IPL_VEN_07,IPL_T20_KKR,IPL_T20_RCB,IPL_T20_RCB,Field,222,6,League
IPL2024_MAT_37,2024,21-04-2024,IPL_VEN_15,IPL_T20_PBKS,IPL_T20_GT,IPL_T20_PBKS,Bat,142,10,League
IPL2024_MAT_38,2024,22-04-2024,IPL_VEN_21,IPL_T20_MI,IPL_T20_RR,IPL_T20_MI,Bat,179,9,League
IPL2024_MAT_39,2024,23-04-2024,IPL_VEN_14,IPL_T20_CSK,IPL_T20_LSG,IPL_T20_LSG,Field,210,4,League
IPL2024_MAT_40,2024,24-04-2024,IPL_VEN_02,IPL_T20_DC,IPL_T20_GT,IPL_T20_GT,Field,224,4,League
IPL2024_MAT_41,2024,25-04-2024,IPL_VEN_19,IPL_T20_RCB,IPL_T20_SRH,IPL_T20_RCB,Bat,206,7,League
IPL2024_MAT_42,2024,26-04-2024,IPL_VEN_07,IPL_T20_KKR,IPL_T20_PBKS,IPL_T20_PBKS,Field,261,6,League
IPL2024_MAT_43,2024,27-04-2024,IPL_VEN_02,IPL_T20_DC,IPL_T20_MI,IPL_T20_MI,Field,257,4,League
IPL2024_MAT_44,2024,27-04-2024,IPL_VEN_08,IPL_T20_LSG,IPL_T20_RR,IPL_T20_RR,Field,196,5,League
IPL2024_MAT_45,2024,28-04-2024,IPL_VEN_17,IPL_T20_GT,IPL_T20_RCB,IPL_T20_RCB,Field,200,3,League
IPL2024_MAT_46,2024,28-04-2024,IPL_VEN_14,IPL_T20_CSK,IPL_T20_SRH,IPL_T20_SRH,Field,212,3,League
IPL2024_MAT_47,2024,29-04-2024,IPL_VEN_07,IPL_T20_DC,IPL_T20_KKR,IPL_T20_DC,Bat,153,9,League
IPL2024_MAT_48,2024,30-04-2024,IPL_VEN_08,IPL_T20_MI,IPL_T20_LSG,IPL_T20_LSG,Field,144,7,League
