player_id,player_name,from_team_id,to_team_id,season
PLY_0675,Wayne Parnell,IPL_T20_PW,IPL_T20_DC,2014
PLY_0675,Wayne Parnell,IPL_T20_DC,IPL_T20_RCB,2023
PLY_0678,Will Jacks,,IPL_T20_RCB,2024
PLY_0678,Will Jacks,IPL_T20_RCB,IPL_T20_MI,2025
PLY_0679,Wriddhiman Saha,,IPL_T20_KKR,2007
PLY_0679,Wriddhiman Saha,IPL_T20_KKR,IPL_T20_CSK,2011
PLY_0679,Wriddhiman Saha,IPL_T20_CSK,IPL_T20_PBKS,2014
PLY_0679,Wriddhiman Saha,IPL_T20_PBKS,IPL_T20_SRH,2018
PLY_0679,Wriddhiman Saha,IPL_T20_SRH,IPL_T20_GT,2022
PLY_0680,Xavier Bartlett,,IPL_T20_PBKS,2025
PLY_0682,Yash Dayal,,IPL_T20_GT,2022
PLY_0682,Yash Dayal,IPL_T20_GT,IPL_T20_RCB,2024
PLY_0683,Yash Dhull,,IPL_T20_DC,2022
PLY_0684,Yashasvi Jaiswal,,IPL_T20_RR,2020
PLY_0688,Yogesh Takawale,,IPL_T20_MI,2007
PLY_0688,Yogesh Takawale,IPL_T20_MI,IPL_T20_RCB,2014
PLY_0690,Yudhvir Singh,,IPL_T20_MI,2021
PLY_0690,Yudhvir Singh,IPL_T20_MI,IPL_T20_LSG,2023
PLY_0690,Yudhvir Singh,IPL_T20_LSG,IPL_T20_RR,2025
PLY_0691,Yusuf Pathan,,IPL_T20_RR,2007
PLY_0691,Yusuf Pathan,IPL_T20_RR,IPL_T20_KKR,2011
PLY_0691,Yusuf Pathan,IPL_T20_KKR,IPL_T20_SRH,2018
PLY_0692,Yuvraj Singh,,IPL_T20_PBKS,2007
PLY_0692,Yuvraj Singh,IPL_T20_PBKS,IPL_T20_PW,2011
PLY_0692,Yuvraj Singh,IPL_T20_PW,IPL_T20_RCB,2014
PLY_0692,Yuvraj Singh,IPL_T20_RCB,IPL_T20_DC,2015
PLY_0692,Yuvraj Singh,IPL_T20_DC,IPL_T20_SRH,2016
PLY_0692,Yuvraj Singh,IPL_T20_SRH,IPL_T20_PBKS,2018
PLY_0692,Yuvraj Singh,IPL_T20_PBKS,IPL_T20_MI,2019
PLY_0693,Yuzvendra Chahal,,IPL_T20_MI,2013
PLY_0693,Yuzvendra Chahal,IPL_T20_MI,IPL_T20_RCB,2014
PLY_0693,Yuzvendra Chahal,IPL_T20_RCB,IPL_T20_RR,2022
PLY_0693,Yuzvendra Chahal,IPL_T20_RR,IPL_T20_PBKS,2025
PLY_0694,Zaheer Khan,,IPL_T20_RCB,2007
PLY_0694,Zaheer Khan,IPL_T20_RCB,IPL_T20_MI,2009
PLY_0694,Zaheer Khan,IPL_T20_MI,IPL_T20_RCB,2011
PLY_0694,Zaheer Khan,IPL_T20_RCB,IPL_T20_MI,2014
PLY_0694,Zaheer Khan,IPL_T20_MI,IPL_T20_DC,2015
PLY_0695,Kartik Sharma,,IPL_T20_CSK,2025
PLY_0696,Zak Foulkes,,IPL_T20_CSK,2025
PLY_0697,Ramakrishna Ghosh,,IPL_T20_CSK,2025
PLY_0698,Prashant Veer,,IPL_T20_DC,2025
PLY_0698,Prashant Veer,IPL_T20_DC,IPL_T20_CSK,2026
PLY_0699,Gurjapneet Singh,,IPL_T20_PBKS,2007
PLY_0699,Gurjapneet Singh,IPL_T20_PBKS,IPL_T20_RCB,2019
PLY_0699,Gurjapneet Singh,IPL_T20_RCB,IPL_T20_DC,2025
PLY_0699,Gurjapneet Singh,IPL_T20_DC,IPL_T20_CSK,2026
PLY_0700,Matt Henry,,IPL_T20_CSK,2015
PLY_0700,Matt Henry,IPL_T20_CSK,IPL_T20_PBKS,2017
PLY_0700,Matt Henry,IPL_T20_PBKS,IPL_T20_LSG,2024
PLY_0700,Matt Henry,IPL_T20_LSG,IPL_T20_DC,2025
PLY_0700,Matt Henry,IPL_T20_DC,IPL_T20_CSK,2026
PLY_0701,Pathum Nissanka,,IPL_T20_GT,2025
PLY_0701,Pathum Nissanka,IPL_T20_GT,IPL_T20_DC,2026
PLY_0702,Sahil Parekh,,IPL_T20_GT,2025
PLY_0702,Sahil Parekh,IPL_T20_GT,IPL_T20_DC,2026
PLY_0703,Ajay Mandal,,IPL_T20_CSK,2023
PLY_0703,Ajay Mandal,IPL_T20_CSK,IPL_T20_GT,2025
PLY_0703,Ajay Mandal,IPL_T20_GT,IPL_T20_DC,2026
PLY_0704,Auqib Nabi,,IPL_T20_GT,2025
PLY_0704,Auqib Nabi,IPL_T20_GT,IPL_T20_DC,2026
PLY_0705,Lungi Ngidi,,IPL_T20_CSK,2018
PLY_0705,Lungi Ngidi,IPL_T20_CSK,IPL_T20_DC,2022
PLY_0705,Lungi Ngidi,IPL_T20_DC,IPL_T20_KKR,2025
PLY_0705,Lungi Ngidi,IPL_T20_KKR,IPL_T20_DC,2026
PLY_0707,Tripurana Vijay,,IPL_T20_LSG,2025
PLY_0707,Tripurana Vijay,IPL_T20_LSG,IPL_T20_DC,2026
