player_id,player_name,nationality,batting_style,bowling_style,role,is_overseas,current_team_id,photo_url
PLY_0514,Ryan Rickelton,Overseas,Left-hand,,Wicketkeeper,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Ryan%20Rickelton.png
PLY_0562,Sherfane Rutherford,Overseas,Left-hand,Right-arm medium,Batter,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Sherfane%20Rutherford.png
PLY_0505,Rohit Sharma,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Rohit%20Sharma.png
PLY_0610,Suryakumar Yadav,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Suryakumar%20Yadav.png
PLY_0214,Hardik Pandya,India,Right-hand,Right-arm fast,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png
PLY_0729,Atharva Ankolekar,India,Left-hand,Left-arm off-spin,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Atharva%20Ankolekar.png
PLY_0730,RajÃÂ Bawa,India,Right-hand,Right-arm fast,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Raj%C3%83%C2%82%C3%82%C2%A0Bawa.png
PLY_0140,Corbin Bosch,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Corbin%20Bosch.png
PLY_0678,Will Jacks,Overseas,Right-hand,Right-arm off-spin,Allrounder,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Will%20Jacks.png
PLY_0731,Mayank Rawat,India,Right-hand,,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Mayank%20Rawat.png
PLY_0402,Naman Dhir,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Naman%20Dhir.png
PLY_0373,Mitchell Santner,Overseas,Left-hand,Left-arm off-spin,Allrounder,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png
PLY_0555,Shardul Thakur,India,Right-hand,Right-arm fast,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
PLY_0625,Tilak Varma,India,Left-hand,Right-arm off-spin,Allrounder,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Tilak%20Varma.png
PLY_0732,Ashwani Kumar,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Ashwani%20Kumar.png
PLY_0637,Trent Boult,Overseas,Right-hand,Left-arm fast,Bowler,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png
PLY_0256,Jasprit Bumrah,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Jasprit%20Bumrah.png
PLY_0163,Deepak Chahar,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Deepak%20Chahar.png
PLY_0733,AM Ghazanfar,Overseas,Right-hand,Right-arm off-spin,Bowler,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/AM%20Ghazanfar.png
PLY_0363,Mayank Markande,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png
PLY_0734,Mohd Izhar,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Mohd%20Izhar.png
PLY_0464,Rahul Sharma,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Rahul%20Sharma.png
PLY_0577,Shreyas Iyer,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Iyer.png
PLY_0456,Priyansh Arya,India,Left-hand,Right-arm off-spin,Batter,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Priyansh%20Arya.png
PLY_0735,Pyla Avinash,India,Right-hand,,Batter,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Pyla%20Avinash.png
PLY_0736,Harnoor Singh,India,Left-hand,,Batter,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Harnoor%20Singh.png
